,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,484.4822,350.23
1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,484.4822,350.23
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,774.6917,347.5
3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,774.6917,347.5
4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,4,644.614,364.11
5,3,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,644.614,364.11
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,630.3364,347.1
7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,630.3364,347.1
8,0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,4,392.8587,358.78
9,0,0,0,0,3,0,4,0,0,0,0,4,0,0,1,0,4,392.8587,358.78
10,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,3,404.2231,366.31
11,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,3,404.2231,366.31
12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,698.8705,344.2
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,698.8705,344.2
14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,668.6168,344.16
15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,668.6168,344.16
16,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,722.1028,343.5
17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,722.1028,343.5
18,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,3,676.0763,353.75
19,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,676.0763,353.75
20,0,0,0,0,0,0,0,2,0,4,0,0,3,3,0,0,4,511.0118,357.53
21,0,0,3,3,0,0,4,0,2,0,0,0,0,0,0,0,4,511.0118,357.53
22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,670.7866,341.17
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,670.7866,341.17
24,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,3,604.6825,352.02
25,0,0,0,0,0,0,4,3,0,0,0,0,0,2,0,0,3,604.6825,352.02
26,0,4,0,1,0,0,0,0,1,0,0,0,0,3,0,0,4,709.4934,352.15
27,0,0,3,0,0,0,0,1,0,0,0,0,1,0,4,0,4,709.4934,352.15
28,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,532.7661,350.98
29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,532.7661,350.98
30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,781.6228,342.88
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,781.6228,342.88
32,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,571.8015,351.0
33,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,571.8015,351.0
34,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,641.2333,345.1
35,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,641.2333,345.1
36,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,742.2276,342.31
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,742.2276,342.31
38,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,554.742,347.43
39,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,554.742,347.43
40,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,667.3871,341.64
41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,667.3871,341.64
42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,618.7054,350.53
43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,618.7054,350.53
44,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,537.8497,363.42
45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,3,537.8497,363.42
46,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,4,567.7237,357.63
47,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,0,4,567.7237,357.63
48,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,583.3478,346.36
49,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,583.3478,346.36
50,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,590.6174,350.0
51,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,590.6174,350.0
52,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,3,509.9671,354.32
53,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,3,509.9671,354.32
54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,547.925,348.97
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,547.925,348.97
56,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,652.5501,344.94
57,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,652.5501,344.94
58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,543.9089,348.87
59,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,543.9089,348.87
60,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,706.2611,342.24
61,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,706.2611,342.24
62,0,0,4,0,4,0,0,0,0,0,3,3,0,0,0,0,4,489.8941,358.26
63,0,0,0,0,3,3,0,0,0,0,0,4,0,4,0,0,4,489.8941,358.26
64,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,607.2171,344.91
65,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,607.2171,344.91
66,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,680.4316,349.04
67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,680.4316,349.04
68,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,533.7604,348.98
69,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,533.7604,348.98
70,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,639.1159,343.67
71,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,639.1159,343.67
72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,655.8208,340.06
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,655.8208,340.06
74,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,3,494.5583,363.26
75,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,494.5583,363.26
76,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,611.754,345.85
77,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,611.754,345.85
78,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,544.8066,349.92
79,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,544.8066,349.92
80,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,694.2488,351.27
81,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,694.2488,351.27
82,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,3,4,519.1238,363.73
83,3,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,4,519.1238,363.73
84,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,524.2032,353.63
85,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,524.2032,353.63
86,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,662.1677,345.48
87,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,662.1677,345.48
88,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,4,698.5759,358.24
89,2,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,698.5759,358.24
90,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,4,666.9283,354.24
91,0,0,1,0,0,2,0,3,0,0,0,0,0,0,4,0,4,666.9283,354.24
92,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,544.1287,349.25
93,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,544.1287,349.25
94,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,484.8454,350.77
95,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,484.8454,350.77
96,0,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,4,234.1593,354.07
97,0,0,0,4,3,0,0,0,0,0,0,0,0,2,1,0,4,234.1593,354.07
98,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,613.3562,359.59
99,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,3,613.3562,359.59
100,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,637.6043,345.01
101,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,637.6043,345.01
102,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,333.589,370.88
103,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,333.589,370.88
104,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,492.0714,345.94
105,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,492.0714,345.94
