,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,484.4822,350.23
1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,774.6917,347.5
2,3,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,644.614,364.11
3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,630.3364,347.1
4,0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,4,392.8587,358.78
5,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,3,404.2231,366.31
6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,698.8705,344.2
7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,668.6168,344.16
8,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,722.1028,343.5
9,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,676.0763,353.75
10,0,0,3,3,0,0,4,0,2,0,0,0,0,0,0,0,4,511.0118,357.53
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,670.7866,341.17
12,0,0,0,0,0,0,4,3,0,0,0,0,0,2,0,0,3,604.6825,352.02
13,0,4,0,1,0,0,0,0,1,0,0,0,0,3,0,0,4,709.4934,352.15
14,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,532.7661,350.98
15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,781.6228,342.88
16,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,571.8015,351.0
17,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,641.2333,345.1
18,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,742.2276,342.31
19,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,554.742,347.43
20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,667.3871,341.64
21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,618.7054,350.53
22,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,537.8497,363.42
23,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,0,4,567.7237,357.63
24,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,583.3478,346.36
25,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,590.6174,350.0
26,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,3,509.9671,354.32
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,547.925,348.97
28,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,652.5501,344.94
29,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,543.9089,348.87
30,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,706.2611,342.24
31,0,0,4,0,4,0,0,0,0,0,3,3,0,0,0,0,4,489.8941,358.26
32,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,607.2171,344.91
33,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,680.4316,349.04
34,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,533.7604,348.98
35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,639.1159,343.67
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,655.8208,340.06
37,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,494.5583,363.26
38,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,611.754,345.85
39,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,544.8066,349.92
40,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,694.2488,351.27
41,3,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,4,519.1238,363.73
42,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,524.2032,353.63
43,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,662.1677,345.48
44,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,4,698.5759,358.24
45,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,4,666.9283,354.24
46,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,544.1287,349.25
47,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,484.8454,350.77
48,0,0,0,4,3,0,0,0,0,0,0,0,0,2,1,0,4,234.1593,354.07
49,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,613.3562,359.59
50,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,637.6043,345.01
51,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,333.589,370.88
52,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,492.0714,345.94
53,3,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,422.3459,366.98
54,0,3,0,0,0,0,2,0,0,0,0,4,0,0,0,0,3,583.7159,352.44
55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,677.2624,340.73
56,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,554.0839,357.03
57,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,580.7099,357.95
58,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,703.0072,348.57
59,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,692.2108,350.52
60,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,512.4159,354.78
