,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,484.4822,350.23
1,0,2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,566.374,353.4
2,0,0,0,0,0,0,0,3,0,0,3,3,4,2,0,0,5,115.5001,359.97
3,0,4,0,4,0,0,0,0,0,0,0,2,0,0,3,3,5,521.1104,369.31
4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,774.6917,347.5
5,4,2,0,2,0,0,0,0,4,0,0,0,3,0,4,0,6,600.8041,374.17
6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,4,644.614,364.11
7,0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,2,4,311.9589,361.02
8,0,0,3,0,0,0,0,0,0,3,4,4,2,0,3,0,6,436.2708,361.34
9,0,3,3,0,1,0,0,0,0,0,0,1,0,3,3,0,6,932.7682,352.08
10,4,0,0,4,3,0,3,0,0,0,4,0,0,0,3,0,6,310.573,391.63
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,630.3364,347.1
12,0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,4,392.8587,358.78
13,0,1,0,0,0,0,0,0,0,0,2,2,4,0,3,0,5,272.707,368.46
14,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,3,404.2231,366.31
15,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,3,680.0007,345.91
16,0,0,0,0,1,1,0,4,0,4,0,0,0,0,3,3,6,527.25,370.41
17,0,0,1,0,1,0,0,0,0,0,0,0,4,2,1,0,5,566.808,346.98
18,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,698.8705,344.2
19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,668.6168,344.16
20,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,3,620.5532,360.34
21,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,519.8735,352.48
22,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,4,491.1827,344.8
23,0,1,0,0,4,0,2,0,3,0,0,0,0,3,3,0,6,546.7089,362.51
24,0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,4,5,128.5916,373.48
25,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,722.1028,343.5
26,1,3,0,4,2,0,0,0,0,0,0,4,0,0,0,0,5,154.4202,375.64
27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,629.6745,341.54
28,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,3,676.0763,353.75
29,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,504.1115,359.1
30,0,0,3,0,2,0,4,0,0,3,0,0,0,0,4,4,6,381.0768,386.15
31,0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,3,722.247,350.85
32,0,0,2,0,0,1,0,1,2,1,0,0,0,4,0,0,6,703.7786,356.15
