,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,-273.2294,350.23
1,0,2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,-244.0982,353.4
2,0,0,0,0,0,0,0,3,0,0,3,3,4,2,0,0,5,-194.6106,359.97
3,0,4,0,4,0,0,0,0,0,0,0,2,0,0,3,3,5,-237.2939,369.31
4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,-309.5538,347.5
5,4,2,0,2,0,0,0,0,4,0,0,0,3,0,4,0,6,-120.92,374.17
6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,4,-469.4442,364.11
7,0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,2,4,-279.3632,361.02
8,0,0,3,0,0,0,0,0,0,3,4,4,2,0,3,0,6,-244.0601,361.34
9,0,3,3,0,1,0,0,0,0,0,0,1,0,3,3,0,6,-627.6232,352.08
10,4,0,0,4,3,0,3,0,0,0,4,0,0,0,3,0,6,-118.3263,391.63
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,-267.9387,347.1
12,0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,4,-241.9697,358.78
13,0,1,0,0,0,0,0,0,0,0,2,2,4,0,3,0,5,-229.6069,368.46
14,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,3,-174.139,366.31
15,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,3,-565.2744,345.91
16,0,0,0,0,1,1,0,4,0,4,0,0,0,0,3,3,6,-214.4209,370.41
17,0,0,1,0,1,0,0,0,0,0,0,0,4,2,1,0,5,-391.6612,346.98
18,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-357.1813,344.2
19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-483.5387,344.16
20,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,3,-218.4157,360.34
21,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,-245.3497,352.48
22,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,4,-360.3331,344.8
23,0,1,0,0,4,0,2,0,3,0,0,0,0,3,3,0,6,-201.445,362.51
24,0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,4,5,-182.0735,373.48
25,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-605.9083,343.5
26,1,3,0,4,2,0,0,0,0,0,0,4,0,0,0,0,5,-347.7771,375.64
27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,-332.4863,341.54
28,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,3,-212.0789,353.75
29,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,-429.3466,359.1
30,0,0,3,0,2,0,4,0,0,3,0,0,0,0,4,4,6,-207.4165,386.15
31,0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,3,-187.9727,350.85
32,0,0,2,0,0,1,0,1,2,1,0,0,0,4,0,0,6,-627.1931,356.15
33,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,4,-193.7215,355.9
34,4,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,5,-318.3297,382.2
35,4,0,3,0,0,0,0,0,3,0,0,0,1,0,3,2,6,-177.9427,377.75
36,0,0,4,3,0,4,0,2,0,0,0,0,0,0,0,0,4,-363.7549,358.61
37,2,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,4,-369.6616,356.08
38,0,4,0,0,0,0,0,0,0,4,0,3,0,0,2,0,4,-188.329,360.18
39,0,2,0,1,0,0,2,0,0,0,0,3,3,0,0,0,5,-363.6909,359.78
40,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3,-441.5542,349.85
41,0,0,0,0,0,0,0,2,0,4,0,0,3,3,0,0,4,-274.428,357.53
42,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,-271.5647,352.18
43,0,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,6,-318.9251,354.45
44,0,0,4,0,0,0,0,4,0,2,0,1,0,1,0,0,5,-539.3915,353.86
45,0,1,1,0,0,0,0,2,0,4,0,0,1,0,0,0,5,-195.8164,352.17
46,0,2,0,1,1,0,0,3,0,0,0,2,0,0,0,0,5,-265.6719,353.66
47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-491.2401,341.17
48,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,3,-208.8154,352.02
49,0,0,3,0,0,4,0,0,3,0,0,4,4,0,2,0,6,-184.6043,363.42
50,0,4,0,1,0,0,0,0,1,0,0,0,0,3,0,0,4,-357.7906,352.15
51,0,0,0,0,2,4,0,0,0,0,0,1,4,0,1,0,5,-209.0545,368.76
52,0,2,4,0,0,4,0,0,0,0,0,4,0,0,0,0,4,-440.6502,356.17
53,0,1,0,2,0,3,0,0,0,3,0,2,3,0,0,0,6,-302.2434,367.39
54,0,3,0,3,0,2,0,0,2,0,0,2,0,0,3,0,6,-398.2439,366.82
55,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,-384.6381,342.72
56,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,-389.3563,350.98
57,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-300.1295,342.88
58,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,-367.2343,351.0
59,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,3,-454.4772,354.87
60,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,-424.949,345.1
61,4,0,0,0,3,1,0,0,0,4,1,0,1,0,0,0,6,-153.1312,371.17
62,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-339.076,342.31
63,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,-271.3407,342.76
64,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,3,-315.0337,346.94
65,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,-541.6649,347.43
66,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,-471.261,341.64
67,0,0,0,0,0,0,0,2,2,0,0,4,0,1,0,3,5,-156.6072,372.33
68,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,2,4,-220.0308,355.55
69,0,0,3,0,0,0,3,0,0,0,4,4,0,3,0,3,6,-526.2953,369.33
70,0,0,0,0,0,0,0,0,0,0,4,0,2,3,3,0,4,-211.1645,359.92
71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-419.378,350.53
72,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,-276.3974,363.42
73,0,1,0,0,1,0,0,1,0,4,0,0,4,0,2,0,6,-169.6659,359.2
74,0,0,0,0,0,0,0,0,3,4,0,4,0,2,1,1,6,-121.7043,367.51
75,2,0,0,0,3,0,0,0,0,0,0,3,1,0,2,1,6,-155.655,367.69
